,Processor,Memory_Capacity,Close,Open
0,0,2.0,0.0234559436651661,0.0239199373610898
1,1,2.0,0.0217690520721808,0.0234578254047265
2,1,4.0,0.0202488493717829,0.0217757378835638
3,2,4.0,0.0209720227211625,0.0202646317862556
4,3,0.125,0.0204550307096911,0.0209536920589663
5,4,0.25,0.0206258227134808,0.0204920935603323
6,5,1.0,0.0223511809739863,0.0206456174213908
7,6,0.5,0.0217059667374477,0.0223739161381897
8,7,0.125,0.0211089640575343,0.0217274728570103
9,8,0.25,0.0207427613827421,0.0211251869405501
10,9,0.25,0.02049093293271,0.0207210957075968
11,10,0.5,0.0193451391295086,0.0205110914963161
12,10,1.0,0.0192574351275626,0.0193537577744905
13,11,0.25,0.0198457186961713,0.0193106273252299
14,11,0.5,0.019675439581282,0.0198928883902478
15,12,0.5,0.0192369195715518,0.0197162589313711
16,12,0.5,0.0184388644427329,0.0192639026718643
17,13,2.0,0.0168673728523082,0.0184788258037759
18,14,0.5,0.0164385977316831,0.0168886472161566
19,15,0.5,0.0169294324092407,0.01645066777307
20,16,6.0,0.0172428075273052,0.0169738811992192
21,16,2.0,0.0181018964352561,0.0172583367812473
22,16,6.0,0.0187219791156815,0.0181122169850609
23,17,4.0,0.0185440066672881,0.0187252855138363
24,17,8.0,0.0185819604459081,0.0185543040899819
25,17,16.0,0.0194154049088455,0.0186184863061435
26,18,8.0,0.0200236911445647,0.0194045900896905
27,18,16.0,0.0205601729342463,0.0201116213829264
28,18,2.0,0.0202473107050821,0.0205875966979807
29,18,2.0,0.0196210733578534,0.0202569299203162
30,18,2.0,0.0196826200258857,0.0196531036306681
31,19,6.0,0.0200765187012925,0.0197157454736418
32,19,12.0,0.0199795826991416,0.0200890292428376
33,19,16.0,0.0196359471359612,0.0199853107815204
34,19,32.0,0.0198221258067589,0.0196356460678722
35,20,12.0,0.0196518466918696,0.0198256254277104
36,21,12.0,0.0183829595526036,0.019663372785254
37,22,16.0,0.0183793693303017,0.0184120762989678
38,23,8.0,0.0178110884288035,0.0184131032144264
39,24,0.5,0.0181921648817035,0.017842138219453
40,25,1.0,0.0181044608797574,0.0182164489041073
41,26,1.0,0.0183419284405821,0.0181363494983377
42,27,1.0,0.017212034193289,0.0183350576395739
43,28,0.5,0.0177105622043507,0.0172372850143463
44,29,1.0,0.0173520528630625,0.0177148007025884
45,30,2.0,0.0167073515154242,0.0173882415867583
46,31,1.0,0.0167145319600279,0.0167428252210375
47,32,2.0,0.0167996715174726,0.0167166388768436
48,33,2.0,0.0169504608541518,0.0167982786558011
49,34,1.0,0.017412060864394,0.0169790157765121
50,35,2.0,0.0179146919866578,0.017429831662831
51,36,2.0,0.0175623373121729,0.0179617738703782
52,37,4.0,0.0177197942045555,0.0175679517920107
53,38,2.0,0.0186311977803339,0.0177337986385723
54,39,2.0,0.0188189151178324,0.0186010287433475
55,40,4.0,0.0188589204520534,0.0187853600681636
56,40,4.0,0.0217239178489571,0.0188947265645029
57,41,2.0,0.0215792831790812,0.0219385039837496
58,42,4.0,0.0204037418196642,0.0214840938933256
59,42,4.0,0.0192912857949803,0.0205203337354434
60,43,2.0,0.0198939302527966,0.0192407970740461
61,44,4.0,0.019869824474484,0.0199401265013427
62,44,4.0,0.0192435871272553,0.0199113728685023
63,45,8.0,0.0195184955777996,0.0191981800825148
64,46,4.0,0.018353211996388,0.0195273064869914
65,47,8.0,0.0179947026550998,0.0183756208001881
66,48,6.0,0.0181008706574556,0.0180531693461923
67,49,16.0,0.0188522528963499,0.0181342956674205
68,49,32.0,0.0193307782403011,0.0188413269606565
69,50,2.0,0.0192512804607593,0.0193517039435733
70,51,4.0,0.0188932840083714,0.0193070331211249
71,52,4.0,0.0189599595654064,0.0190236044545553
72,53,8.0,0.0193076982397889,0.0189655837311453
73,54,8.0,0.0192584609053631,0.0193137080716057
74,55,6.0,0.019389760463832,0.019280846776931
75,56,0.125,0.0194513071318643,0.0194215341947571
76,57,0.25,0.01955747513422,0.0194728799676864
77,57,0.25,0.0192338422381502,0.0195997040268217
78,57,0.25,0.0189563693431046,0.0192916293892461
79,57,0.25,0.0193282137957997,0.0189691779352503
80,57,0.25,0.0192225586823443,0.0193450289930925
81,58,0.25,0.0192384582382526,0.0192464451090683
82,58,0.25,0.0185619577787976,0.0192531200595492
83,58,0.25,0.0180649684344367,0.0185820308073637
84,58,0.25,0.0177649284277792,0.0180844902676791
85,58,0.25,0.0179772644324907,0.0176803990347258
86,58,0.5,0.0180813808792453,0.0180136331010367
87,58,0.25,0.0178167302067064,0.0180932190490771
88,59,0.5,0.0180347079893208,0.0178031154320268
89,59,0.5,0.0177126137599518,0.0180408463606893
90,59,0.5,0.0167745399613594,0.0177486889127218
91,60,0.25,0.0164011568419635,0.0167828749239223
92,60,0.25,0.0159713559435379,0.0164198603093124
93,60,0.25,0.0163016563953112,0.0159777732043915
94,60,0.5,0.0169232777424375,0.0163084399820559
95,61,0.25,0.016455523065392,0.0169204815953727
96,61,1.0,0.0170222653001895,0.0164855828986619
97,61,0.5,0.0171597195254616,0.0170478191122373
98,62,0.25,0.0165422012895375,0.0171695085940797
99,62,0.5,0.0163616643966427,0.0165482247416356
100,62,0.25,0.0168186484067826,0.0163869990146377
101,63,0.5,0.0162001043930579,0.0168198438804314
102,63,1.0,0.0162708830612951,0.0162334751535792
103,63,0.5,0.0160364928338721,0.0163125476438903
104,63,0.5,0.0159375052761201,0.0160568456947025
105,63,1.0,0.0164221852868745,0.0159639098457006
106,63,0.5,0.0161175292801146,0.0164532350617165
107,63,1.0,0.0161575346143356,0.0161266759458863
108,64,0.5,0.0144162767979217,0.0161662121910419
109,64,0.5,0.0135505203342673,0.0144358596433257
110,64,0.5,0.0140772572348438,0.0136107330723525
111,64,0.5,0.0146783630259593,0.0141000582883683
112,64,1.0,0.0150963674796787,0.014688994303867
113,64,0.25,0.0145327025782828,0.0151028412336768
114,64,0.5,0.0148948021418729,0.0144990149440287
115,64,0.5,0.0140941825685527,0.0147516361468407
116,64,1.0,0.0136254021137066,0.0141000582883683
117,64,0.5,0.0137351603383642,0.0136656730493868
118,64,0.25,0.0115841042906353,0.0137293418078191
119,64,0.5,0.0091345469029496,0.0114958006853961
120,64,1.0,0.010762456272404,0.0090830628154501
121,65,0.125,0.0106732136037572,0.0107348563305845
122,65,0.5,0.0102198198159192,0.0106711875721522
123,65,0.5,0.0107881007174175,0.0102717174587625
124,65,1.0,0.0110199265003392,0.0108580861856147
125,65,0.5,0.0108383638296439,0.0109320240986328
126,65,0.5,0.0116374447362633,0.010853465066051
127,65,1.0,0.0119713354103385,0.0116719166865435
128,66,1.0,0.0119441522986242,0.0119902604787049
129,66,0.5,0.0127119469823272,0.0119481569449029
130,66,1.0,0.0130130127667852,0.0127003725183166
131,66,0.5,0.0140259683448169,0.0130459295701306
132,66,1.0,0.0135135923334479,0.0140261203753502
133,66,0.5,0.0119974927442522,0.0135219048851848
134,66,1.0,0.0119764642993412,0.011981531697307
135,66,1.0,0.0116133389579506,0.011951751149008
136,67,0.5,0.0111532776144091,0.0116267324063657
137,67,1.0,0.0116410349585651,0.0111353533594327
138,67,1.0,0.0122185478602682,0.0116292996950122
139,67,1.0,0.0116564216255732,0.0121920493663169
140,67,0.5,0.0116348802917619,0.0116816723834001
141,67,1.0,0.0111353265028997,0.0116898877070687
142,67,2.0,0.0113999771754386,0.0111379206480792
143,67,1.0,0.0116810402927861,0.0114311050115053
144,67,1.0,0.0114584465100693,0.0116909146225273
145,68,0.5,0.0112891931729805,0.0114701277989315
146,69,0.5,0.0112753451726732,0.0113104424451215
147,70,0.5,0.0112420073941557,0.0112822022700104
148,71,0.5,0.0113738198415249,0.0112555024680872
149,71,0.5,0.0120749389681929,0.0113972168013719
150,71,0.5,0.0131976527708821,0.0120934654822927
151,71,0.5,0.0120441656341767,0.0132220455712779
152,71,1.0,0.0119933896330501,0.0120575234412423
153,72,1.0,0.0124944820886131,0.011985125901412
154,72,0.5,0.0121210989692171,0.0125170681089592
155,72,0.5,0.0123236900848234,0.0121386497624705
156,72,0.5,0.0125032011999176,0.0123358175305189
157,72,1.0,0.0125416678674378,0.0125155277357713
158,72,0.5,0.0121031478577077,0.0125560908963854
159,72,0.5,0.012252398527686,0.0121175979955695
160,73,1.0,0.012244705194182,0.0122716353143573
161,73,1.0,0.0121795683038478,0.0122659872793351
162,73,1.0,0.0121262278582198,0.0121864013312947
163,74,0.5,0.0130186545446882,0.0121401901356584
164,74,0.5,0.0130407087673998,0.0130171759372902
165,74,1.0,0.0133453647741597,0.0130561987247164
166,74,2.0,0.0141388039028761,0.0133683810241263
167,74,0.5,0.0144480759097384,0.0141226504284572
168,74,1.0,0.0140064785666066,0.0144789900925863
169,74,0.5,0.0141649612367898,0.0140040416929906
170,74,1.0,0.0139875016772967,0.0141508906035683
171,74,0.5,0.014169064347992,0.0139809360951724
172,74,0.5,0.0140711025680406,0.0141935075950996
173,74,1.0,0.0148537710298513,0.0141103274429542
174,74,0.5,0.0149640421434092,0.0148830813255396
175,74,1.0,0.0152009968153336,0.0149688287663315
176,74,2.0,0.0150968803685789,0.0152050193218061
177,74,0.5,0.0146347674694364,0.0151018143182183
178,74,0.5,0.0144578207988435,0.014604787236263
179,74,1.0,0.0146886208039647,0.0144502364597459
180,74,1.0,0.0149040341420777,0.0146689694524246
181,74,0.5,0.014643486580741,0.0149210771975073
182,74,0.5,0.0131453381030547,0.0146371350732084
183,74,1.0,0.0133828056638793,0.0131383519614032
184,74,2.0,0.0134248625537014,0.0133991884878839
185,74,0.5,0.0133366456628551,0.0134341036134758
186,74,0.5,0.0137433665607685,0.0133457888840375
187,74,1.0,0.0136807941149357,0.013755528152013
188,74,1.0,0.0125965469797666,0.0136877517317464
189,74,1.0,0.0126273203137828,0.0127065340110681
190,74,2.0,0.0127468234275455,0.0126454325412823
191,74,0.5,0.0126698900925051,0.0127630143612903
192,74,1.0,0.0129658269879605,0.0126813745823328
193,74,2.0,0.0124483220875888,0.0129771262344054
